month,day,invoice_series,customer_no,supplier_code,part_number,lot,DC,quantity,customer_part_number,product_number,lot,DC,quantity,marking_code,package,unit_price,currency
1,4,10010424,AA365-G,BL,BZT52-B13G-LS0,F201014112ES,2045,126000,NA,BZT52-B13G,F201014112ES,2045,126000,WK,SOD123,0.006,31.865
1,4,10010424,AA365-G,BL,BZT52-B13G-LS0,F201014112DG,2046,24000,NA,BZT52-B13G,F201014112DG,2046,24000,WK,SOD123,0.006,31.865
1,4,10010424,AA365-G,BL,SS14G-LS0,F200918013AK,2046,150000,NA,SS14G,F200918013AK,2046,150000,"LS 0N
SS14",SMA,0.009,31.865
1,4,10010424,AA365-G,BL,LL4148-LS0,F170223012CV,1711,175000,NA,LL4148,F170223012CV,1711,175000,,MINI-MELF,0.0024,31.865
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
