part_number,marking_code,package,MPQ
1E4G-730,1E4 BL,R-1,5000
1N4007G-L10,"LSYM
1N4007",DO41,5000
1N4148WG-CU-L10,T4,SOD123,3000
1N4148WTG-L10,T4,SOD523,8000
1N4937G-L10,"LSYM
1N4937",DO41,5000
1N5408GG-L10,"LSYM
1N5408G",DO201AD,1000
1SS388G-L10,S3,SOD523,8000
2N7002DWG3T6R-L10,.K72,SOT363,3000
2N7002GT3R-SN-L10,7002A,SOT23,3000
2N7002HGT3-LS0,7002K.,SOT23,3000
2N7002HWG-3T3R-LS0,7002K.,SOT323,3000
3.0SMCJ20AG-LS0,"LSYM
HEV",SMC,3000
3.0SMCJ90CAG-LS0,"LSYM
IGX",SMC,3000
BAS16G-LS0,A6,SOT23,3000
BAS21G-LS0,JS,SOT23,3000
BAS70AWG-L10,76,SOT323,3000
BAT54CWG-L10,KL7,SOT323,3000
BAT54SG-L10,KL4,SOT23,3000
BAT54WSG-L10,L9,SOD323,3000
BAV70G-Cu-L10,A4,SOT23,3000
BAV99G-L10,A7,SOT23,3000
BC847BG-T3R-Cu-L10,1F,SOT23,3000
BZT52-B18G-L10,WN,SOD123,3000
BZT52-B24G-L10,WR,SOD123,3000
BZT52B3V3G-Cu-L10,W4,SOD123,3000
BZT52-B3V6G-L10,W5,SOD123,3000
BZT52-B6V8G-L10,WC,SOD123,3000
BZT52B8V2G-Cu-L10,WE,SOD123,3000
BZT52C30G-Cu-LS0,WT,SOD123,3000
BZT52C5V1G-Cu-LS0,W9,SOD123,3000
BZX584B6V2G-L10,Z4,SOD523,8000
FMMT493G-T3-LS0,493,SOT23,3000
GLS2231NG-5T3-LS0,K21,SOT523,3000
LS1045G-YL-L10,"LSYM
10L45",TO277B,5000
LS3011PG-T3LR-LS0,MxYM,SOT23-3L,3000
LS3018NG3T3R-L10,K38,SOT323,3000
LS3400NG-T3L-L10,EG10,SOT23-3L,3000
LS3407PGT3LR-LS0,W5YWW,SOT23-3L,3000
LS5002PG-T3L-LS0,D4YWW,SOT23-3L,3000
LS6033DNG-3T6R-L10,D39,SOT363,3000
LSBLC05CG-L10,05C,SOD323,3000
LDD2055F10/S4PFAU,無,100PCS/TRAY,#N/A
D4UB80-LS01-LS0,"LSYM
D3UB60",D3K,#N/A
DF10-LS0,"LSYM
DF10S",DFS,#N/A
MBR20200CTG-L10,"MBR20200CT
AKA LSYM",TO220AB,1000
MBR2060FCTG-300,"MBR2060FCT
AKA LSYM",ITO220AB,1000
MBRB20150CTG-LS0,"LSYM
MBRB20150CT",TO263,800
MBRB20H100CTG-LS0,LSYM B20H100CT,TO263,800
MMBD3004G-L10,KAE,SOT23,3000
MMBT2222AGT3R-LS0,1P,SOT23,3000
MMBT3904GT3R-Cu-L10,1AM,SOT23,3000
MMBT3906GT3R-L10,2A,SOT23,3000
MMBT3906TG-5T3-L10,3N,SOT523,3000
MMBTA06G-LS0,1GM,SOT23,3000
MMBTA44GT3R-Cu-L10,3D,SOT23,3000
MMBTA94GT3R-Cu-L10,4D,SOT23,3000
MMDT3904G-L10,.K6N,SOT363,3000
MMST3904G-L10,K2N,SOT323,3000
MMST4401G-3T3R-L10,K3X,SOT323,3000
MMSZ5233BG-LS0,E3,SOD123,3000
MMSZ5235BG-Cu-L10,E5,SOD123,3000
MMSZ5240BG-Cu-LS0,F5,SOD123,3000
MMSZ5242BG-Cu-L10,H2,SOD123,3000
MMSZ5243BG-L10,H3,SOD123,3000
MMSZ5245BG-L10,H5,SOD123,3000
MMSZ5258BG-L10,M3,SOD123,3000
MUR460G-G-F5-560,"LSYM
MUR460",DO201AD,1000
MUR460G-G-L10,"LSYM
MUR460",DO201AD,1000
1SMF4745AG-LS0,45A,SOD123FL,2500
P2SMF15AG-L10,HM,SOD123FL,2500
P2SMF20AG-L10,HV,SOD123FL,2500
1SMF4752AG-LS0,52A,SOD123FL,2500
P2SMF75AG-L10,XR,SOD123FL,2500
P4SMAJ10AG-LS0,"LSYM
AX",SMA,7500
P4SMAJ110AG-L10,"LSYM
SE",SMA,1800
P4SMAJ15AG-L10,"LSYM
BM",SMA,1800
PS1524BG-5.0ES8R-LS0,"2450YM
2.",ESOP8,#N/A
P4SMAJ40AG-L10,"LSYM
CR",SMA,1800
P4SMAJ45AG-L10,"LSYM
CV",SMA,1800
PS1524BG3.3-ES8R-LS0,2433YM,ESOP8,#N/A
PS1524BG-3.3-ES8-LS0,.2433YM,ESOP8,#N/A
P4SMAJ64AG-L10,"LSYM
RM",SMA,1800
PS1524BG-5.0-ES8-LS0,2450YM,ESOP8,#N/A
P6KE68CAG-L10,"LSYM
P6KE68CA",DO15,3000
P6SMBJ150AG-L10,"LSYM
PM",SMB,3000
P6SMBJ33AG-LS0,"LSYM
MM",SMB,3000
P6SMBJ58CAG-L10,"LSYM
DG",SMB,3000
PS1524BG-3.3-ES8R-LS0,"2433YM
2左下有個點",ESOP8,#N/A
PS5020KN-Cu-L10,K38,SOT23,3000
PS6262AG-3.3A-T5L-L10,Ady_ _,SOT23-5L,3000
PS78H05KAG-T89-LS0,"78H05
LSYWW",SOT89,1000
PS78H06GT89SLS01-LS0,"78H06.
LSYWW",SOT89S,1000
PS78H06KG-T89S-LS0,"78H06
LSYWW",SOT89S,1000
PS78L12G-T89-L10,"78L12
LSYWW",SOT89,1000
PS78M08AG-TC2-LS0,"78M08.
LSYM",TO252,2500
PS78M12GTC2R-L10,"78M12
LSYWW",TO252,2500
RB521S-30G-L10,C,SOD523,8000
RB551V30G-L10,D,SOD323,3000
RS2MG-L10,"LSYM
RS2M",SMB,3000
S10MHG-1-060,A7,SOD123FH,3000
SB5150-BL0,"SB5150
BL",DO201AD,1000
SD103AWSG-Cu-L10,S4,SOD323,3000
SD103AXG-L10,S4,SOD523,8000
FR105FLG-LS0,F5,SOD123FL,2500
SF20-08G-G-730,"SF200-08CT
AKA LSYM",DO15,3000
SR504G-L10,"LSYM
SR504",DO201AD,1000
SS0530G-Cu-28MTS-L10,SE,SOD123,3000
SS1040G-Cu-L10,SL,SOD123,3000
SS110G-L10,"LSYM
SS110",SMA,3000
SS210G-L10,"LSYM
SS210",SMB,3000
MT7232NQJR-090,MT7232 YWWXX,QFN2.5*3.2,#N/A
SS220AHLG-L10,"LSYM
SS220A",SMAF,1800
SS220G-660,"LSYM
SS220A",SMB,3000
SS24AG-L10,"LSYM
SS24A",SMA,7500
MT7231NQJR-090,MT7231 YWWXX,QFN2.5*3.2,#N/A
SS310AG-L10,"LSYM
SS310A",SMA,7500
SS34AG-L10,"LSYM
SS34A",SMA,7500
SS34BG-LS0,LSYM SS34B,SMB,3000
SS54BG-L10,"LSYM
SS54B",SMB,3000
FR107FLG-LS0,F7,SOD123FL,2500
UF4007G-L10,"LSYM
UF4007G",DO41,5000
